"","year","fold.out","alpha","FP","TP","FN","TN","hull.area"
"136",2018,2,3385.13750128654,325,676,96,447,3873376601.71606
"137",2019,2,3385.13750128654,209,1273,163,1227,14241182311.5767
"138",2020,2,3385.13750128654,100,574,154,628,16628329517.149
"139",2021,2,3385.13750128654,88,833,143,888,18087688699.0089
"140",2022,2,3385.13750128654,185,1108,284,1207,22716327519.1
"141",2023,2,3385.13750128654,267,1609,332,1674,25189865494.8409
"142",2024,2,3385.13750128654,356,1641,205,1490,26921623163.9856
"143",2025,2,3385.13750128654,170,1009,211,1050,28819058279.1658
"144",2026,2,3385.13750128654,0,4,2,6,28763379261.1747
"145",2015,3,3385.13750128654,366,480,10,124,182908369.603234
"146",2016,3,3385.13750128654,179,423,20,264,696476990.640763
"147",2017,3,3385.13750128654,28,138,44,154,1552672527.13282
"148",2018,3,3385.13750128654,329,663,108,442,3920665808.73468
"149",2019,3,3385.13750128654,181,1270,167,1256,14599663916.2858
"150",2020,3,3385.13750128654,75,567,162,654,17392000554.7133
"151",2021,3,3385.13750128654,99,821,156,878,18759495925.8139
"152",2022,3,3385.13750128654,184,1061,330,1207,22317589270.2427
"153",2023,3,3385.13750128654,299,1575,365,1641,25183387524.5928
"154",2024,3,3385.13750128654,369,1589,258,1478,26718132454.8156
"155",2025,3,3385.13750128654,175,1010,211,1046,28616882019.4894
"156",2026,3,3385.13750128654,0,5,0,5,28500558365.3834
"157",2015,4,3385.13750128654,381,487,4,110,184394863.655756
"158",2016,4,3385.13750128654,173,435,9,271,771106926.248001
"159",2017,4,3385.13750128654,32,144,38,150,1513247268.10356
"160",2018,4,3385.13750128654,331,669,103,441,4846348684.28886
"161",2019,4,3385.13750128654,163,1242,194,1273,14217993560.9532
"162",2020,4,3385.13750128654,70,555,173,658,17083895745.4044
"163",2021,4,3385.13750128654,90,815,161,886,18275243983.2398
"164",2022,4,3385.13750128654,187,1131,261,1205,22125658479.9427
"165",2023,4,3385.13750128654,281,1631,310,1660,24676447104.0208
"166",2024,4,3385.13750128654,355,1619,227,1491,26269379376.7823
"167",2025,4,3385.13750128654,174,1027,193,1046,28267659533.7773
"168",2026,4,3385.13750128654,0,5,1,6,28313466662.7572
"169",2015,5,3385.13750128654,389,489,2,102,189133827.008372
"170",2016,5,3385.13750128654,183,435,9,261,726109806.150108
"171",2017,5,3385.13750128654,26,139,43,156,1346584062.48737
"172",2018,5,3385.13750128654,320,672,100,452,3860047582.38604
"173",2019,5,3385.13750128654,177,1241,195,1259,14603738362.3729
"174",2020,5,3385.13750128654,74,603,126,655,17869050229.0782
"175",2021,5,3385.13750128654,82,828,148,894,18915647747.5145
"176",2022,5,3385.13750128654,212,1100,291,1179,22991601790.113
"177",2023,5,3385.13750128654,268,1588,352,1672,25479911359.3195
"178",2024,5,3385.13750128654,341,1633,214,1506,26947188068.7574
"179",2025,5,3385.13750128654,187,1005,216,1034,28880514671.2826
"180",2026,5,3385.13750128654,0,4,1,5,28833040832.8779
"181",2015,1,4513.51666838205,372,487,4,119,201665114.274024
"182",2016,1,4513.51666838205,191,431,13,253,857904240.846964
"183",2017,1,4513.51666838205,37,151,31,145,2241344920.9235
"184",2018,1,4513.51666838205,368,714,58,404,6504831171.50854
"185",2019,1,4513.51666838205,266,1348,88,1170,19325580184.7075
"186",2020,1,4513.51666838205,98,638,91,631,23936406804.2896
"187",2021,1,4513.51666838205,111,848,128,865,25752066766.9602
"188",2022,1,4513.51666838205,219,1154,237,1172,30754936652.7758
"189",2023,1,4513.51666838205,277,1633,307,1663,34922904776.8046
"190",2024,1,4513.51666838205,390,1670,177,1457,38896948150.7993
"191",2025,1,4513.51666838205,218,1035,186,1003,42042657882.99
"192",2026,1,4513.51666838205,0,3,2,5,42084805150.2754
"193",2015,2,4513.51666838205,377,486,5,114,189037840.406416
"194",2016,2,4513.51666838205,176,437,7,268,924754892.256815
"195",2017,2,4513.51666838205,37,150,32,145,2169731968.36193
"196",2018,2,4513.51666838205,355,711,61,417,6398367583.27394
"197",2019,2,4513.51666838205,239,1341,95,1197,19328254139.696
"198",2020,2,4513.51666838205,69,619,109,659,23500006662.3681
"199",2021,2,4513.51666838205,120,849,127,856,25881844663.6737
"200",2022,2,4513.51666838205,191,1166,226,1201,30847144025.868
"201",2023,2,4513.51666838205,306,1664,277,1635,35885462838.6897
"202",2024,2,4513.51666838205,376,1664,182,1470,39023020130.996
"203",2025,2,4513.51666838205,211,1044,176,1009,42121927473.4267
"204",2026,2,4513.51666838205,0,6,0,6,42202777202.6779
"205",2015,3,4513.51666838205,374,481,9,116,196097159.036082
"206",2016,3,4513.51666838205,186,427,16,257,848112109.935546
"207",2017,3,4513.51666838205,30,151,31,152,2253050039.39803
"208",2018,3,4513.51666838205,355,689,82,416,6334172272.10446
"209",2019,3,4513.51666838205,215,1327,110,1222,18972330093.3805
"210",2020,3,4513.51666838205,94,613,116,635,23472203780.4237
"211",2021,3,4513.51666838205,110,852,125,867,25593176030.3066
"212",2022,3,4513.51666838205,183,1126,265,1208,30286867668.9417
"213",2023,3,4513.51666838205,289,1646,294,1651,34792984636.7698
"214",2024,3,4513.51666838205,364,1648,199,1483,38598456475.348
"215",2025,3,4513.51666838205,192,1037,184,1029,42058281435.885
"216",2026,3,4513.51666838205,0,5,0,5,42068353242.1666
"217",2015,4,4513.51666838205,360,488,3,131,194859610.561672
"218",2016,4,4513.51666838205,198,437,7,246,969327531.244926
"219",2017,4,4513.51666838205,31,158,24,151,2192665738.51565
"220",2018,4,4513.51666838205,351,699,73,421,6343447960.79035
"221",2019,4,4513.51666838205,222,1339,97,1214,19287717673.6606
"222",2020,4,4513.51666838205,86,594,134,642,23012046342.1728
"223",2021,4,4513.51666838205,92,844,132,884,24963271772.494
"224",2022,4,4513.51666838205,220,1184,208,1172,30635944382.067
"225",2023,4,4513.51666838205,315,1675,266,1626,35359652868.6413
"226",2024,4,4513.51666838205,386,1650,196,1460,38389526694.0255
"227",2025,4,4513.51666838205,204,1047,173,1016,41649838635.6673
"228",2026,4,4513.51666838205,0,6,0,6,41807094983.1355
"229",2015,5,4513.51666838205,369,491,0,122,203480619.282303
"230",2016,5,4513.51666838205,183,439,5,261,952609007.366205
"231",2017,5,4513.51666838205,37,150,32,145,2080998513.87827
"232",2018,5,4513.51666838205,354,694,78,418,6494530316.90083
"233",2019,5,4513.51666838205,256,1325,111,1180,19142232700.0296
"234",2020,5,4513.51666838205,103,634,95,626,23234593860.1737
"235",2021,5,4513.51666838205,108,849,127,868,26332120934.3187
"236",2022,5,4513.51666838205,211,1163,228,1180,31328755516.2151
"237",2023,5,4513.51666838205,299,1643,297,1641,35838917727.2439
"238",2024,5,4513.51666838205,368,1667,180,1479,39127574012.2102
"239",2025,5,4513.51666838205,208,1040,181,1013,42304050320.2261
"240",2026,5,4513.51666838205,0,4,1,5,42367622799.3378
"241",2015,1,5641.89583547756,408,487,4,83,208428075.175513
"242",2016,1,5641.89583547756,172,432,12,272,917558005.194421
"243",2017,1,5641.89583547756,35,160,22,147,3010980979.71137
"244",2018,1,5641.89583547756,376,731,41,396,8647241466.30407
"245",2019,1,5641.89583547756,246,1364,72,1190,20816471045.624
"246",2020,1,5641.89583547756,114,658,71,615,26694837039.8907
"247",2021,1,5641.89583547756,98,870,106,878,29754621609.6592
"248",2022,1,5641.89583547756,243,1188,203,1148,36142802273.2546
"249",2023,1,5641.89583547756,337,1686,254,1603,45350169786.7232
"250",2024,1,5641.89583547756,420,1681,166,1427,50113229798.9426
"251",2025,1,5641.89583547756,239,1052,169,982,55438307643.1717
"252",2026,1,5641.89583547756,0,4,1,5,55397425420.7009
"253",2015,2,5641.89583547756,363,487,4,128,193745943.25012
"254",2016,2,5641.89583547756,191,437,7,253,976067614.255279
"255",2017,2,5641.89583547756,40,156,26,142,2767671922.39742
"256",2018,2,5641.89583547756,385,724,48,387,8591208233.03168
"257",2019,2,5641.89583547756,267,1368,68,1169,20983547664.0538
"258",2020,2,5641.89583547756,114,636,92,614,26507819461.3432
"259",2021,2,5641.89583547756,119,869,107,857,29546475422.7791
"260",2022,2,5641.89583547756,244,1193,199,1148,36019150693.7291
"261",2023,2,5641.89583547756,356,1715,226,1585,46415977623.0526
"262",2024,2,5641.89583547756,444,1699,147,1402,51498023599.6802
"263",2025,2,5641.89583547756,253,1072,148,967,56713298527.9754
"264",2026,2,5641.89583547756,0,5,1,6,57300866701.5812
"265",2015,3,5641.89583547756,373,483,7,117,202872899.073513
