"","year","fold.out","alpha","FP","TP","FN","TN","hull.area"
"427",2021,1,9027.0333367641,131,904,72,845,37603516347.0586
"428",2022,1,9027.0333367641,316,1273,118,1075,54303091069.5292
"429",2023,1,9027.0333367641,418,1781,159,1522,74433704368.1293
"430",2024,1,9027.0333367641,511,1738,109,1336,82577515954.9413
"431",2025,1,9027.0333367641,323,1098,123,898,93435397953.7706
"432",2026,1,9027.0333367641,0,3,2,5,93299643948.9365
"433",2015,2,9027.0333367641,402,488,3,89,217730491.289584
"434",2016,2,9027.0333367641,210,439,5,234,1291936112.66973
"435",2017,2,9027.0333367641,55,174,8,127,4833346322.4271
"436",2018,2,9027.0333367641,428,753,19,344,13334511459.4884
"437",2019,2,9027.0333367641,351,1396,40,1085,25056802390.4619
"438",2020,2,9027.0333367641,127,666,62,601,32047681469.1811
"439",2021,2,9027.0333367641,137,900,76,839,37490963710.6342
"440",2022,2,9027.0333367641,324,1269,123,1068,53187509736.1075
"441",2023,2,9027.0333367641,419,1809,132,1522,75222712499.5276
"442",2024,2,9027.0333367641,515,1759,87,1331,82581221152.878
"443",2025,2,9027.0333367641,297,1127,93,923,93157142847.3366
"444",2026,2,9027.0333367641,0,6,0,6,93186958314.367
"445",2015,3,9027.0333367641,395,485,5,95,229700473.556474
"446",2016,3,9027.0333367641,219,435,8,224,1250402786.99408
"447",2017,3,9027.0333367641,42,166,16,140,4109103259.96941
"448",2018,3,9027.0333367641,436,745,26,335,13228260510.0258
"449",2019,3,9027.0333367641,369,1400,37,1068,25009747435.3285
"450",2020,3,9027.0333367641,136,655,74,593,31132880099.0685
"451",2021,3,9027.0333367641,153,903,74,824,36755481590.2026
"452",2022,3,9027.0333367641,313,1259,132,1078,51444255651.7766
"453",2023,3,9027.0333367641,425,1775,165,1515,72882816598.6663
"454",2024,3,9027.0333367641,539,1749,98,1308,81312761421.677
"455",2025,3,9027.0333367641,266,1106,115,955,92237926135.6557
"456",2026,3,9027.0333367641,0,5,0,5,92248373329.1059
"457",2015,4,9027.0333367641,396,488,3,95,224239917.951662
"458",2016,4,9027.0333367641,230,440,4,214,1346703244.98333
"459",2017,4,9027.0333367641,46,172,10,136,5026301961.46828
"460",2018,4,9027.0333367641,433,751,21,339,12102699204.2873
"461",2019,4,9027.0333367641,362,1398,38,1074,25012384724.4037
"462",2020,4,9027.0333367641,120,662,66,608,31849266347.7169
"463",2021,4,9027.0333367641,166,897,79,810,38094490108.1398
"464",2022,4,9027.0333367641,308,1280,112,1084,52713639983.6742
"465",2023,4,9027.0333367641,411,1806,135,1530,71428815879.2992
"466",2024,4,9027.0333367641,523,1734,112,1323,79286875226.3596
"467",2025,4,9027.0333367641,307,1112,108,913,92923612405.2594
"468",2026,4,9027.0333367641,0,5,1,6,92799229143.0869
"469",2015,5,9027.0333367641,393,491,0,98,237166737.244988
"470",2016,5,9027.0333367641,236,441,3,208,1356215035.32619
"471",2017,5,9027.0333367641,66,174,8,116,4995910496.75318
"472",2018,5,9027.0333367641,426,743,29,346,12789775686.1229
"473",2019,5,9027.0333367641,366,1393,43,1070,24768260001.8988
"474",2020,5,9027.0333367641,141,682,47,588,31796353665.8729
"475",2021,5,9027.0333367641,157,898,78,819,37806481713.1499
"476",2022,5,9027.0333367641,343,1284,107,1048,53154870468.1988
"477",2023,5,9027.0333367641,423,1797,143,1517,74773387104.3074
"478",2024,5,9027.0333367641,524,1752,95,1323,81665730706.8525
"479",2025,5,9027.0333367641,290,1109,112,931,92127454524.6331
"480",2026,5,9027.0333367641,0,4,1,5,91921774057.8638
"481",2015,1,10155.4125038596,384,487,4,107,220651615.533919
"482",2016,1,10155.4125038596,212,438,6,232,1260703368.85321
"483",2017,1,10155.4125038596,56,165,17,126,4608127775.51604
"484",2018,1,10155.4125038596,423,756,16,349,13771176993.5592
"485",2019,1,10155.4125038596,339,1397,39,1097,25311585131.7888
"486",2020,1,10155.4125038596,128,682,47,601,33101708745.0698
"487",2021,1,10155.4125038596,145,904,72,831,39225312503.2331
"488",2022,1,10155.4125038596,320,1284,107,1071,60351130253.0155
"489",2023,1,10155.4125038596,433,1793,147,1507,78672515798.49
"490",2024,1,10155.4125038596,545,1751,96,1302,89824835263.1053
"491",2025,1,10155.4125038596,311,1107,114,910,103711211148.237
"492",2026,1,10155.4125038596,0,3,2,5,104092421114.559
"493",2015,2,10155.4125038596,394,488,3,97,222947876.06455
"494",2016,2,10155.4125038596,212,439,5,232,1358678881.58102
"495",2017,2,10155.4125038596,66,176,6,116,5140927086.48948
"496",2018,2,10155.4125038596,438,753,19,334,13765566358.3199
"497",2019,2,10155.4125038596,365,1396,40,1071,25479907993.8161
"498",2020,2,10155.4125038596,141,668,60,587,33183134752.2956
"499",2021,2,10155.4125038596,163,900,76,813,39501816152.5374
"500",2022,2,10155.4125038596,350,1290,102,1042,62476714180.4391
"501",2023,2,10155.4125038596,435,1814,127,1506,79175464038.8335
"502",2024,2,10155.4125038596,542,1763,83,1304,89417618010.0334
"503",2025,2,10155.4125038596,334,1132,88,886,102798251223.765
"504",2026,2,10155.4125038596,0,5,1,6,102793761692.674
"505",2015,3,10155.4125038596,395,484,6,95,236203789.580548
"506",2016,3,10155.4125038596,217,436,7,226,1285336455.99103
"507",2017,3,10155.4125038596,50,167,15,132,4535763972.29462
"508",2018,3,10155.4125038596,404,747,24,367,13734265254.5029
"509",2019,3,10155.4125038596,373,1401,36,1064,25621176970.4284
"510",2020,3,10155.4125038596,139,656,73,590,31848753334.1048
"511",2021,3,10155.4125038596,159,910,67,818,39047278254.0201
"512",2022,3,10155.4125038596,351,1276,115,1040,55802796764.5565
"513",2023,3,10155.4125038596,402,1795,145,1538,78158036760.6772
"514",2024,3,10155.4125038596,552,1762,85,1295,88873903730.2861
"515",2025,3,10155.4125038596,346,1112,109,875,102863916723.764
"516",2026,3,10155.4125038596,0,5,0,5,103076547257.134
"517",2015,4,10155.4125038596,410,488,3,81,233822032.99301
"518",2016,4,10155.4125038596,241,440,4,203,1410650607.11194
"519",2017,4,10155.4125038596,58,173,9,124,5126928331.28264
"520",2018,4,10155.4125038596,432,754,18,340,13124864173.7691
"521",2019,4,10155.4125038596,360,1399,37,1076,25652430537.9188
"522",2020,4,10155.4125038596,135,665,63,593,33138370547.6146
"523",2021,4,10155.4125038596,145,908,68,831,39707356081.9439
"524",2022,4,10155.4125038596,322,1286,106,1070,59400565424.4084
"525",2023,4,10155.4125038596,439,1817,124,1502,78693953252.7605
"526",2024,4,10155.4125038596,541,1746,100,1305,88827311219.3992
"527",2025,4,10155.4125038596,305,1133,87,915,104073901483.107
"528",2026,4,10155.4125038596,0,6,0,6,104097555664.674
"529",2015,5,10155.4125038596,404,491,0,87,243157206.154506
"530",2016,5,10155.4125038596,213,441,3,231,1420737478.84505
"531",2017,5,10155.4125038596,64,174,8,118,5300560926.18571
"532",2018,5,10155.4125038596,405,746,26,367,13443419681.6978
"533",2019,5,10155.4125038596,354,1397,39,1082,25315122399.127
"534",2020,5,10155.4125038596,130,686,43,599,33056949901.9944
"535",2021,5,10155.4125038596,142,903,73,834,39483103907.2692
"536",2022,5,10155.4125038596,363,1308,83,1028,60913623344.6692
"537",2023,5,10155.4125038596,437,1802,138,1503,78400565755.2844
"538",2024,5,10155.4125038596,510,1755,92,1337,87925939760.2948
"539",2025,5,10155.4125038596,322,1120,101,899,101096381511.26
"540",2026,5,10155.4125038596,0,4,1,5,101141764355.68
"541",2015,1,11283.7916709551,395,487,4,96,222328330.210268
"542",2016,1,11283.7916709551,211,438,6,233,1318104226.38828
"543",2017,1,11283.7916709551,60,167,15,122,5212832086.5073
"544",2018,1,11283.7916709551,430,757,15,342,13880120490.5654
"545",2019,1,11283.7916709551,369,1400,36,1067,26006126914.2275
"546",2020,1,11283.7916709551,144,688,41,585,34204638335.7421
"547",2021,1,11283.7916709551,167,918,58,809,41384558513.3544
"548",2022,1,11283.7916709551,327,1294,97,1064,63575503507.1539
"549",2023,1,11283.7916709551,475,1813,127,1465,85607578434.1238
"550",2024,1,11283.7916709551,591,1762,85,1256,98888889042.759
"551",2025,1,11283.7916709551,352,1111,110,869,112520578212.861
"552",2026,1,11283.7916709551,0,4,1,5,112534655004.284
"553",2015,2,11283.7916709551,397,488,3,94,227153444.729213
"554",2016,2,11283.7916709551,206,439,5,238,1429501415.62758
"555",2017,2,11283.7916709551,69,176,6,113,5705985798.5167
"556",2018,2,11283.7916709551,436,755,17,336,13908990371.7998
"557",2019,2,11283.7916709551,366,1399,37,1070,25942726744.2296
"558",2020,2,11283.7916709551,150,674,54,578,34202353956.3463
"559",2021,2,11283.7916709551,188,909,67,788,41010210131.6705
"560",2022,2,11283.7916709551,361,1298,94,1031,64443199634.1988
"561",2023,2,11283.7916709551,428,1835,106,1513,84368137057.5549
"562",2024,2,11283.7916709551,572,1766,80,1274,97436163443.4703
"563",2025,2,11283.7916709551,370,1137,83,850,112815188791.196
"564",2026,2,11283.7916709551,0,6,0,6,112848138200.192
"565",2015,3,11283.7916709551,390,486,4,100,240459287.802153
"566",2016,3,11283.7916709551,209,436,7,234,1326479459.44786
"567",2017,3,11283.7916709551,59,168,14,123,5140677998.4537
"568",2018,3,11283.7916709551,433,746,25,338,13994867428.47
"569",2019,3,11283.7916709551,382,1405,32,1055,25961999209.3962
"570",2020,3,11283.7916709551,134,661,68,595,32878424667.0913
"571",2021,3,11283.7916709551,189,913,64,788,41807400545.5213
"572",2022,3,11283.7916709551,356,1285,106,1035,60151986151.4977
"573",2023,3,11283.7916709551,478,1811,129,1462,85176541598.4673
"574",2024,3,11283.7916709551,601,1759,88,1246,97558416708.8381
"575",2025,3,11283.7916709551,344,1128,93,877,112814001533.163
"576",2026,3,11283.7916709551,0,5,0,5,111952793313.053
"577",2015,4,11283.7916709551,404,489,2,87,242701502.75578
"578",2016,4,11283.7916709551,229,441,3,215,1478844521.29931
"579",2017,4,11283.7916709551,53,173,9,129,5296721914.92519
"580",2018,4,11283.7916709551,441,758,14,331,14098386220.7669
"581",2019,4,11283.7916709551,373,1399,37,1063,25994575911.729
"582",2020,4,11283.7916709551,132,664,64,596,34149799805.8685
"583",2021,4,11283.7916709551,193,912,64,783,42461723870.4595
"584",2022,4,11283.7916709551,360,1301,91,1032,62233164921.9312
"585",2023,4,11283.7916709551,461,1838,103,1480,84318837943.9389
"586",2024,4,11283.7916709551,564,1748,98,1282,96892796020.7238
"587",2025,4,11283.7916709551,374,1131,89,846,112450243181.83
"588",2026,4,11283.7916709551,0,6,0,6,112460279293.6
"589",2015,5,11283.7916709551,396,491,0,95,248128134.340511
"590",2016,5,11283.7916709551,220,441,3,224,1489023021.47694
"591",2017,5,11283.7916709551,62,175,7,120,5621677685.33898
"592",2018,5,11283.7916709551,428,747,25,344,13541547238.0757
"593",2019,5,11283.7916709551,371,1401,35,1065,25877664333.1264
"594",2020,5,11283.7916709551,141,692,37,588,33806441260.2392
"595",2021,5,11283.7916709551,192,912,64,784,41190337182.906
"596",2022,5,11283.7916709551,348,1306,85,1043,64444066419.1229
"597",2023,5,11283.7916709551,443,1825,115,1497,85076528287.1821
"598",2024,5,11283.7916709551,570,1778,69,1277,96846043124.2699
"599",2025,5,11283.7916709551,340,1125,96,881,112142854583.501
"600",2026,5,11283.7916709551,0,4,1,5,112046384131.898
"601",2015,1,14104.7395886939,383,487,4,108,225521203.993269
"602",2016,1,14104.7395886939,222,441,3,222,1439443197.59393
"603",2017,1,14104.7395886939,68,169,13,114,5643681641.23056
"604",2018,1,14104.7395886939,468,757,15,304,14487688454.856
"605",2019,1,14104.7395886939,411,1407,29,1025,27120748887.2097
"606",2020,1,14104.7395886939,165,700,29,564,36782375957.5058
"607",2021,1,14104.7395886939,201,922,54,775,46197256707.8977
"608",2022,1,14104.7395886939,400,1301,90,991,70472403133.5714
"609",2023,1,14104.7395886939,530,1826,114,1410,99509156281.2443
"610",2024,1,14104.7395886939,606,1778,69,1241,111392532758.461
"611",2025,1,14104.7395886939,420,1132,89,801,130951672950.751
"612",2026,1,14104.7395886939,0,3,2,5,131099804123.987
"613",2015,2,14104.7395886939,414,488,3,77,235500115.183284
"614",2016,2,14104.7395886939,224,440,4,220,1552258187.73857
"615",2017,2,14104.7395886939,62,176,6,120,6224492831.64512
"616",2018,2,14104.7395886939,449,758,14,323,14484377405.7679
"617",2019,2,14104.7395886939,389,1412,24,1047,27019277082.0252
"618",2020,2,14104.7395886939,141,682,46,587,36628869026.6285
"619",2021,2,14104.7395886939,196,923,53,780,46317412395.185
"620",2022,2,14104.7395886939,375,1310,82,1017,71853986972.0091
"621",2023,2,14104.7395886939,527,1856,85,1414,98548244887.8591
"622",2024,2,14104.7395886939,626,1777,69,1220,110863438283.468
"623",2025,2,14104.7395886939,370,1152,68,850,131196103765.25
"624",2026,2,14104.7395886939,0,3,3,6,131193007017.862
"625",2015,3,14104.7395886939,396,486,4,94,250156720.086277
"626",2016,3,14104.7395886939,227,436,7,216,1434513620.86603
"627",2017,3,14104.7395886939,73,176,6,109,6385947187.50137
"628",2018,3,14104.7395886939,427,750,21,344,14632803725.356
"629",2019,3,14104.7395886939,396,1407,30,1041,26956157283.3826
"630",2020,3,14104.7395886939,144,671,58,585,35714522492.5692
"631",2021,3,14104.7395886939,217,919,58,760,46720954830.4755
"632",2022,3,14104.7395886939,391,1305,86,1000,69964677166.2088
"633",2023,3,14104.7395886939,511,1826,114,1429,96250949750.9496
"634",2024,3,14104.7395886939,671,1780,67,1176,109876791847.384
"635",2025,3,14104.7395886939,376,1139,82,845,129528378620.136
"636",2026,3,14104.7395886939,0,4,1,5,130427601895.575
"637",2015,4,14104.7395886939,404,491,0,87,257825743.688472
"638",2016,4,14104.7395886939,256,442,2,188,1588463207.43109
"639",2017,4,14104.7395886939,76,175,7,106,6245955360.83504
"640",2018,4,14104.7395886939,449,762,10,323,14739171066.0386
"641",2019,4,14104.7395886939,365,1406,30,1071,27043593532.0807
"642",2020,4,14104.7395886939,164,675,53,564,36074624856.7033
"643",2021,4,14104.7395886939,199,917,59,777,46500288828.8621
"644",2022,4,14104.7395886939,401,1321,71,991,70338127513.307
"645",2023,4,14104.7395886939,505,1858,83,1436,97888603876.3803
"646",2024,4,14104.7395886939,609,1759,87,1237,110265673063.494
"647",2025,4,14104.7395886939,385,1145,75,835,130045386931.884
"648",2026,4,14104.7395886939,0,5,1,6,130082852742.27
"649",2015,5,14104.7395886939,403,491,0,88,257627715.710176
"650",2016,5,14104.7395886939,223,441,3,221,1571089811.48461
"651",2017,5,14104.7395886939,61,175,7,121,6161802022.86871
"652",2018,5,14104.7395886939,424,750,22,348,14415429261.2797
"653",2019,5,14104.7395886939,417,1414,22,1019,26990593516.0304
"654",2020,5,14104.7395886939,147,699,30,582,36329515623.1151
"655",2021,5,14104.7395886939,202,916,60,774,46244341145.3441
"656",2022,5,14104.7395886939,392,1327,64,999,71839757309.4788
"657",2023,5,14104.7395886939,530,1852,88,1410,99873443903.7859
"658",2024,5,14104.7395886939,610,1787,60,1237,111530460102.691
"659",2025,5,14104.7395886939,409,1150,71,812,132744820777.612
"660",2026,5,14104.7395886939,0,4,1,5,132758844367.663
"661",2015,1,16925.6875064327,386,488,3,105,227318956.148297
"662",2016,1,16925.6875064327,231,442,2,213,1529552523.85845
"663",2017,1,16925.6875064327,67,169,13,115,6012421123.96178
"664",2018,1,16925.6875064327,441,760,12,331,14850968983.7193
"665",2019,1,16925.6875064327,404,1409,27,1032,28014139077.067
"666",2020,1,16925.6875064327,158,702,27,571,38056558287.1561
"667",2021,1,16925.6875064327,241,932,44,735,49113035328.2972
"668",2022,1,16925.6875064327,378,1313,78,1013,76766066954.4629
"669",2023,1,16925.6875064327,528,1846,94,1412,106756638894.357
"670",2024,1,16925.6875064327,681,1798,49,1166,124535119374.222
"671",2025,1,16925.6875064327,408,1146,75,813,144272619525.176
"672",2026,1,16925.6875064327,0,4,1,5,143216704544.307
"673",2015,2,16925.6875064327,392,488,3,99,242740291.203661
"674",2016,2,16925.6875064327,265,440,4,179,1622880590.29726
"675",2017,2,16925.6875064327,73,177,5,109,6708336927.12208
"676",2018,2,16925.6875064327,455,761,11,317,14944929466.9825
"677",2019,2,16925.6875064327,409,1414,22,1027,27831920409.2116
"678",2020,2,16925.6875064327,173,686,42,555,37810274771.1909
"679",2021,2,16925.6875064327,233,927,49,743,48736976510.2182
"680",2022,2,16925.6875064327,408,1319,73,984,77319483339.91
"681",2023,2,16925.6875064327,506,1871,70,1435,108580063857.042
"682",2024,2,16925.6875064327,703,1784,62,1143,126093072367.786
"683",2025,2,16925.6875064327,432,1160,60,788,146565155048.698
"684",2026,2,16925.6875064327,0,4,2,6,146749074155.305
"685",2015,3,16925.6875064327,408,486,4,82,260837554.08384
"686",2016,3,16925.6875064327,223,436,7,220,1497053130.17769
"687",2017,3,16925.6875064327,79,179,3,103,6967769236.64067
"688",2018,3,16925.6875064327,451,750,21,320,14959260983.3895
"689",2019,3,16925.6875064327,362,1410,27,1075,27916229363.2758
"690",2020,3,16925.6875064327,160,678,51,569,37823094786.9254
"691",2021,3,16925.6875064327,225,923,54,752,49087098994.9426
"692",2022,3,16925.6875064327,382,1310,81,1009,74373447109.9985
"693",2023,3,16925.6875064327,554,1843,97,1386,104603454051.272
"694",2024,3,16925.6875064327,707,1788,59,1140,124457505553.494
"695",2025,3,16925.6875064327,422,1135,86,799,142357434921.469
"696",2026,3,16925.6875064327,0,5,0,5,142354744718.814
"697",2015,4,16925.6875064327,394,491,0,97,268664384.454919
"698",2016,4,16925.6875064327,243,442,2,201,1650060263.21675
"699",2017,4,16925.6875064327,79,176,6,103,6417026497.67765
"700",2018,4,16925.6875064327,466,766,6,306,15110759611.2482
"701",2019,4,16925.6875064327,411,1411,25,1025,28078813613.2464
"702",2020,4,16925.6875064327,157,679,49,571,37783142422.1842
"703",2021,4,16925.6875064327,271,933,43,705,48992550266.5139
"704",2022,4,16925.6875064327,382,1329,63,1010,77659518395.8526
"705",2023,4,16925.6875064327,492,1869,72,1449,108978025280.13
"706",2024,4,16925.6875064327,677,1767,79,1169,126344273434.269
"707",2025,4,16925.6875064327,420,1149,71,800,145321518872.678
"708",2026,4,16925.6875064327,0,5,1,6,145322617506.951
"709",2015,5,16925.6875064327,384,491,0,107,268857378.917071
"710",2016,5,16925.6875064327,216,441,3,228,1612337588.78407
"711",2017,5,16925.6875064327,74,176,6,108,6566390100.59784
"712",2018,5,16925.6875064327,435,751,21,337,14796273687.4026
"713",2019,5,16925.6875064327,436,1416,20,1000,27678166515.3904
"714",2020,5,16925.6875064327,153,706,23,576,37534713024.3257
"715",2021,5,16925.6875064327,249,927,49,727,49382950987.5621
"716",2022,5,16925.6875064327,428,1328,63,963,77257822924.5162
"717",2023,5,16925.6875064327,531,1869,71,1409,108786865929.8
"718",2024,5,16925.6875064327,691,1805,42,1156,126987008423.251
"719",2025,5,16925.6875064327,435,1151,70,786,147721620246.345
"720",2026,5,16925.6875064327,0,4,1,5,147731365143.658
"721",2015,1,19746.6354241715,389,488,3,102,228893051.174044
"722",2016,1,19746.6354241715,247,442,2,197,1589784231.51549
"723",2017,1,19746.6354241715,64,171,11,118,6300122414.64985
"724",2018,1,19746.6354241715,437,760,12,335,15896791484.4073
"725",2019,1,19746.6354241715,418,1413,23,1018,28821095804.3716
"726",2020,1,19746.6354241715,200,704,25,529,39460704037.3756
"727",2021,1,19746.6354241715,283,935,41,693,53085241095.6088
"728",2022,1,19746.6354241715,446,1323,68,945,84298586479.2514
"729",2023,1,19746.6354241715,611,1860,80,1329,121616493559.606
"730",2024,1,19746.6354241715,686,1803,44,1161,139716969490.683
"731",2025,1,19746.6354241715,469,1150,71,752,160371870986.986
"732",2026,1,19746.6354241715,0,4,1,5,160427161016.799
"733",2015,2,19746.6354241715,396,488,3,95,248709948.129506
"734",2016,2,19746.6354241715,247,440,4,197,1666702118.82232
"735",2017,2,19746.6354241715,74,177,5,108,6917377914.76585
"736",2018,2,19746.6354241715,449,765,7,323,16269711979.6538
"737",2019,2,19746.6354241715,466,1419,17,970,29324462354.4245
"738",2020,2,19746.6354241715,195,689,39,533,39285212697.336
"739",2021,2,19746.6354241715,261,935,41,715,53544752549.723
"740",2022,2,19746.6354241715,427,1329,63,965,85097678219.6631
"741",2023,2,19746.6354241715,547,1884,57,1394,122175279767.308
"742",2024,2,19746.6354241715,685,1795,51,1161,140933215462.372
"743",2025,2,19746.6354241715,419,1167,53,801,164278636262.464
"744",2026,2,19746.6354241715,0,4,2,6,166791227567.835
"745",2015,3,19746.6354241715,403,486,4,87,268102226.641968
"746",2016,3,19746.6354241715,233,436,7,210,1542070697.41806
"747",2017,3,19746.6354241715,90,179,3,92,7181710789.12505
"748",2018,3,19746.6354241715,460,751,20,311,15730667402.8825
"749",2019,3,19746.6354241715,483,1418,19,954,29475826204.2013
"750",2020,3,19746.6354241715,196,683,46,533,39546134587.4842
"751",2021,3,19746.6354241715,279,934,43,698,53416718668.7084
"752",2022,3,19746.6354241715,411,1326,65,980,85528696531.9875
"753",2023,3,19746.6354241715,621,1865,75,1319,119916489892.943
"754",2024,3,19746.6354241715,716,1793,54,1131,139593116692.431
"755",2025,3,19746.6354241715,433,1146,75,788,159010313293.376
"756",2026,3,19746.6354241715,0,5,0,5,159014029371.237
"757",2015,4,19746.6354241715,393,491,0,98,275067467.8089
"758",2016,4,19746.6354241715,257,441,3,187,1690465339.65599
"759",2017,4,19746.6354241715,71,176,6,111,6550957504.1472
"760",2018,4,19746.6354241715,471,765,7,301,16256876533.3108
"761",2019,4,19746.6354241715,439,1415,21,997,28912058796.3312
"762",2020,4,19746.6354241715,187,684,44,541,39227895710.9688
"763",2021,4,19746.6354241715,265,939,37,711,52991117959.5893
"764",2022,4,19746.6354241715,440,1341,51,952,86580017736.5001
"765",2023,4,19746.6354241715,572,1890,51,1369,121706428250.782
"766",2024,4,19746.6354241715,692,1780,66,1154,139637291484.575
"767",2025,4,19746.6354241715,436,1160,60,784,161758059756.555
"768",2026,4,19746.6354241715,0,6,0,6,161839935279.987
"769",2015,5,19746.6354241715,395,491,0,96,276049032.057407
"770",2016,5,19746.6354241715,238,441,3,206,1638176686.60853
"771",2017,5,19746.6354241715,68,176,6,114,6813744383.76885
"772",2018,5,19746.6354241715,463,754,18,309,15130048710.8665
"773",2019,5,19746.6354241715,464,1420,16,972,28857438453.9671
"774",2020,5,19746.6354241715,190,708,21,539,38983999703.5636
"775",2021,5,19746.6354241715,264,931,45,712,53421255441.8238
"776",2022,5,19746.6354241715,444,1340,51,947,85474253673.7951
"777",2023,5,19746.6354241715,600,1889,51,1340,123832206456.888
"778",2024,5,19746.6354241715,696,1816,31,1151,142305496525.087
"779",2025,5,19746.6354241715,462,1152,69,759,162068791640.856
"780",2026,5,19746.6354241715,0,4,1,5,162075646993.016
"781",2015,1,22567.5833419103,394,488,3,97,230387115.530796
"782",2016,1,22567.5833419103,250,442,2,194,1629877211.24231
"783",2017,1,22567.5833419103,81,173,9,101,6481229471.53428
"784",2018,1,22567.5833419103,464,761,11,308,16108595495.3955
"785",2019,1,22567.5833419103,472,1415,21,964,30109898152.2046
"786",2020,1,22567.5833419103,226,707,22,503,41727107057.8212
"787",2021,1,22567.5833419103,328,949,27,648,62043671976.7083
"788",2022,1,22567.5833419103,452,1332,59,939,92533207499.5769
"789",2023,1,22567.5833419103,594,1875,65,1346,132360070105.592
"790",2024,1,22567.5833419103,710,1811,36,1137,150922950447.274
"791",2025,1,22567.5833419103,452,1156,65,769,175512276253.357
"792",2026,1,22567.5833419103,0,4,1,5,175762969734.418
"793",2015,2,22567.5833419103,397,489,2,94,259563777.352716
"794",2016,2,22567.5833419103,242,440,4,202,1699013030.63034
"795",2017,2,22567.5833419103,86,177,5,96,7091887816.87792
"796",2018,2,22567.5833419103,467,766,6,305,16489967312.6039
"797",2019,2,22567.5833419103,464,1422,14,972,30275972894.5777
"798",2020,2,22567.5833419103,239,692,36,489,41865870921.0867
"799",2021,2,22567.5833419103,302,946,30,674,61039291131.6019
"800",2022,2,22567.5833419103,482,1339,53,910,94870177029.8798
"801",2023,2,22567.5833419103,598,1891,50,1343,132634834252.796
"802",2024,2,22567.5833419103,729,1802,44,1117,150743602161.463
"803",2025,2,22567.5833419103,469,1170,50,751,179951793336.829
"804",2026,2,22567.5833419103,0,5,1,6,179964699701.812
"805",2015,3,22567.5833419103,392,486,4,98,272986197.750464
"806",2016,3,22567.5833419103,246,436,7,197,1575278568.36679
"807",2017,3,22567.5833419103,78,179,3,104,7313011029.89057
"808",2018,3,22567.5833419103,462,751,20,309,16046395682.58
"809",2019,3,22567.5833419103,463,1421,16,974,30417128618.752
"810",2020,3,22567.5833419103,203,691,38,526,41992088267.2128
"811",2021,3,22567.5833419103,308,935,42,669,61495094630.0919
"812",2022,3,22567.5833419103,477,1332,59,914,94581642477.1617
"813",2023,3,22567.5833419103,597,1871,69,1343,129593553031.56
"814",2024,3,22567.5833419103,732,1798,49,1115,148620102345.767
"815",2025,3,22567.5833419103,460,1155,66,761,174328444805.645
"816",2026,3,22567.5833419103,0,5,0,5,173456372874.579
"817",2015,4,22567.5833419103,415,491,0,76,281434776.230246
"818",2016,4,22567.5833419103,237,442,2,207,1720960354.15728
"819",2017,4,22567.5833419103,75,177,5,107,6647572488.35915
"820",2018,4,22567.5833419103,444,767,5,328,16493501001.0468
"821",2019,4,22567.5833419103,469,1418,18,967,30092266833.4114
"822",2020,4,22567.5833419103,218,686,42,510,41504566491.7777
"823",2021,4,22567.5833419103,298,945,31,678,58874923835.7537
"824",2022,4,22567.5833419103,464,1342,50,928,95947708575.2424
"825",2023,4,22567.5833419103,614,1897,44,1327,132609503196.579
"826",2024,4,22567.5833419103,746,1793,53,1100,150098418577.556
"827",2025,4,22567.5833419103,430,1163,57,790,178057967533.464
"828",2026,4,22567.5833419103,0,5,1,6,178704372075.954
"829",2015,5,22567.5833419103,409,491,0,82,281017049.99601
"830",2016,5,22567.5833419103,228,441,3,216,1657017158.48174
"831",2017,5,22567.5833419103,71,176,6,111,7028816551.76935
"832",2018,5,22567.5833419103,459,753,19,313,15442904241.6013
"833",2019,5,22567.5833419103,504,1421,15,932,29611943152.4693
"834",2020,5,22567.5833419103,211,710,19,518,41464450901.2009
"835",2021,5,22567.5833419103,300,937,39,676,61160111932.6281
"836",2022,5,22567.5833419103,426,1354,37,965,96403118125.5356
"837",2023,5,22567.5833419103,597,1894,46,1343,133667660867.992
"838",2024,5,22567.5833419103,741,1820,27,1106,151936821411.685
"839",2025,5,22567.5833419103,457,1159,62,764,176590619586.685
"840",2026,5,22567.5833419103,0,4,1,5,176492497026.286
"841",2015,1,25388.531259649,380,488,3,111,231483369.878073
"842",2016,1,25388.531259649,248,442,2,196,1660488222.27646
"843",2017,1,25388.531259649,86,174,8,96,6742246395.92844
"844",2018,1,25388.531259649,443,760,12,329,16264749600.6362
"845",2019,1,25388.531259649,519,1417,19,917,30810604893.7022
"846",2020,1,25388.531259649,235,705,24,494,44237986435.3734
"847",2021,1,25388.531259649,367,953,23,609,68250779810.983
"848",2022,1,25388.531259649,487,1344,47,904,104446188403.512
"849",2023,1,25388.531259649,649,1875,65,1291,138824950691.815
"850",2024,1,25388.531259649,711,1811,36,1136,156503464736.137
"851",2025,1,25388.531259649,450,1159,62,771,184057603545.623
"852",2026,1,25388.531259649,0,4,1,5,184089133381.585
"853",2015,2,25388.531259649,394,489,2,97,267564196.776788
"854",2016,2,25388.531259649,237,440,4,207,1728886919.93955
"855",2017,2,25388.531259649,74,176,6,108,7337713055.4145
"856",2018,2,25388.531259649,471,766,6,301,16656383174.0967
"857",2019,2,25388.531259649,520,1422,14,916,30937533054.0306
"858",2020,2,25388.531259649,225,694,34,503,45356050561.9462
